logic	13.235360010991988
logics	8.921878200731504
model	7.776712658770441
proof	6.537575335092757
models	6.208721318756886
logical	5.261685255475904
proofs	5.1075518722389
time	5.021006842404989
based	4.354710849088671
systems	4.151826890530714
programs	3.5660365434155605
set	3.545852178907362
problem	3.540056969355833
order	3.5238100002022206
type	3.521830653370846
semantics	3.4496994446935214
program	3.0324869025393304
problems	2.8568511507388825
process	2.7773415799521413
results	2.7571574046815033
timed	2.6708855909700993
properties	2.6026013606066005
sets	2.5958891532547366
calculus	2.531927688468386
formal	2.4170470839106604
processes	2.3944228745711618
types	2.294304735286228
theory	2.2938563797777016
linear	2.2665963906395197
algebraic	2.2444846925891397
result	2.2327906590916173
non	2.1825543781294336
programming	2.1746374510010225
paper	2.0576194160356085
algebra	2.0405257437362785
finite	1.9811606489638052
state	1.9542260369672522
language	1.919271135931875
property	1.8984418805686836
abstract	1.8597398279458546
typed	1.8566718876374988
probabilistic	1.8392523492486763
formula	1.8162433075336524
automata	1.7388226021031044
expressive	1.72322135246803
algebras	1.7187597906773946
relation	1.684073014329726
abstraction	1.6615990524661515
checking	1.6440810304383915
computational	1.6325591451966155
equivalence	1.611045097061648
relations	1.5987984837562204
called	1.5740637248816183
computation	1.56368695588496
complete	1.5382709278397442
setting	1.4931276222481058
approach	1.4881889310076697
formulas	1.4807153172959304
lambda	1.4616007076100879
algorithms	1.456066610579675
structures	1.4392531970550833
complexity	1.4216647693617257
theoretic	1.3883666186213195
languages	1.3740271388679162
new	1.3679356844154837
algorithm	1.3621677477706258
case	1.3439103027298502
computing	1.3315234821567272
completeness	1.3237132118853254
data	1.3203235847659405
rewriting	1.3131203188272642
constraints	1.2981090746108246
verification	1.2916016305162334
functions	1.283999914381624
formalization	1.2832077357614444
theorem	1.244609394862854
specification	1.2312495291045287
bounded	1.200919427480401
method	1.1873312024931626
theories	1.186777839821228
term	1.1861001242081066
resulting	1.182270569278452
compute	1.1776616235352266
specifications	1.1114761017490846
class	1.1065392600707493
semantic	1.104470883772183
operators	1.1029366770563682
equivalent	1.036908662210096
different	1.031789134853052
structure	1.0263301373806262
timing	1.0151114867710946
operations	1.0124494009451699
work	0.9983757055725521
computations	0.9968463113130711
functional	0.9936309167697767
temporal	0.9855391111586262
orders	0.9792783829987902
related	0.9765331224716638
states	0.9745100582184762
classes	0.9682005344465946
free	0.9658435554973476
propositional	0.9615678914799352
theoretical	0.9599961009316151
infinite	0.9352196367660148
values	0.9347093774724311
operator	0.9207243081281207
function	0.9168888064541716
tree	0.9005820372341337
games	0.9000960848644376
satisfiability	0.8955110174688429
construction	0.8928043690114428
trees	0.8862574881296633
modal	0.8804940420719864
express	0.8750315651259408
transition	0.8725297957929335
machine	0.8618860863827003
terms	0.8251664428091643
proving	0.8159961883993058
reasoning	0.8115747429346377
quantifier	0.8037993710899631
information	0.8025968348262669
equivalences	0.79819144636158
modalities	0.7977157208381599
et	0.797503205846873
general	0.7964885449752575
traces	0.7950076908998334
efficient	0.7898933767573862
constructions	0.7896830619992721
constructive	0.7891555971228127
methods	0.7886729366182696
concurrent	0.7848703090746055
study	0.7782313605972367
representation	0.7749060282522984
operation	0.7640006986232699
approaches	0.7568736565053846
space	0.754438916617093
composition	0.750865597221442
techniques	0.7501183062633507
previous	0.7491037248295266
relational	0.7466837137070141
constraint	0.7411052259426089
formalisms	0.7360271204088561
weak	0.735650205985196
nets	0.7348807044016906
components	0.7337919061408801
decidable	0.7312266382222053
classical	0.7305550134085854
resolution	0.7293629775691445
game	0.7253602252292827
proved	0.7196553518549432
order logic	0.708620488921483
distributed	0.707959952012523
transitions	0.6940226451689921
coalgebraic	0.6915740719193643
theorems	0.6903939819227428
number	0.6862504544348244
like	0.6852907539980632
fragment	0.6797045363480535
extended	0.6776594234264347
computable	0.6701471743637205
extends	0.6699509889142927
technique	0.6651345592264669
modeling	0.6638563592757383
prove	0.6629401321579184
rules	0.6553254277064848
synthesis	0.6550858417744108
logically	0.6475071753192918
trace	0.6451802875824426
cut	0.6319595356209604
generated	0.6318043466785609
expressed	0.6294791248620955
evaluation	0.6293376576798546
provide	0.625078511793811
memory	0.621635898264958
polynomial	0.6149829546437926
expressions	0.6116072220134915
form	0.6108834356509413
decidability	0.6093988921047249
algorithmic	0.6072565955478832
metric	0.6012818276816929
natural	0.5996661684268209
quantitative	0.5988719370257003
operational	0.5953571174564465
provides	0.5941542180787207
style	0.5915984085766344
recursive	0.5901608157079421
level	0.5888945568980413
tool	0.5864207861999705
inductive	0.5830527908230603
generation	0.5818147400486839
modelling	0.5787752684337901
point	0.5779030715881939
graph	0.5758198380151075
ltl	0.570898848415204
induction	0.5661634276221679
structural	0.5644625634397762
value	0.5641604539248399
exponential	0.5620323804495277
modeled	0.559509305253233
negation	0.5593206617319642
rewrite	0.5592137799332991
event	0.5575222971692337
events	0.5575222971692337
dynamic	0.5559083945011551
ordered	0.5549431756100349
bounds	0.5500026468886395
valued	0.5430403142259742
formalism	0.5380133016109832
procedure	0.5377262632043407
deciding	0.5376532830316813
boolean	0.5357020814142313
regular	0.5345867134598041
decision	0.5335305620985775
variables	0.532150968318143
concurrency	0.5310867267386257
context	0.5303456264982332
partial	0.5296260674888756
path	0.5286331601878812
expressively	0.5232827956464234
behavioural	0.5202524077969133
check	0.518583992894626
refinement	0.5134876015776365
bound	0.5117562988159833
notion	0.5095414854502658
notions	0.5095414854502658
recursion	0.5050911491727963
bisimulations	0.5031829820516569
presented	0.502971890534423
simulation	0.5006464357626064
present	0.5000654854010829
standard	0.4979721799148114
